,rank,clique,order,size,missing,added,findqg_l000_time,findqg_l000_jaccard,findqg_l080_time,findqg_l080_jaccard,findqg_L005_time,findqg_L005_jaccard
3,3,20,30,1580,0.1,0.19,5.951522897987161,1.0,4.948531378002372,1.0,9.90373399798409,1.0
4,3,20,30,1580,0.1,0.19,6.147534449992236,1.0,4.8223486820061225,1.0,17.760843854019186,0.9
0,3,20,30,1159,0.2,0.08463950151760659,2.231660096993437,1.0,25.45107106800424,0.8,13.98348067898769,0.9
1,3,20,30,1159,0.2,0.08463950151760659,2.331562130013481,1.0,28.367413615022087,0.8,8.611362804018427,0.95
2,3,20,30,1159,0.2,0.08463950151760659,2.460616016993299,1.0,16.36821084699477,0.8,4.329303135018563,1.0
3,3,20,30,1159,0.2,0.08463950151760659,2.0802820840035565,1.0,21.159674267983064,0.8,4.131055094010662,1.0
4,3,20,30,1159,0.2,0.08463950151760659,2.1554851320106536,1.0,20.622016520996112,0.75,6.7342294469999615,0.95
0,4,20,30,3459,0.3,0.003007560848118147,12.8785621659772,1.0,80.191486841999,0.5,36.471091776009416,0.95
1,4,20,30,3459,0.3,0.003007560848118147,13.062399987014942,1.0,76.57588400598615,0.45,83.79182196297916,0.95
2,4,20,30,3459,0.3,0.003007560848118147,13.404932824982097,1.0,78.43623895099154,0.45,79.4909334469994,0.9
3,4,20,30,3459,0.3,0.003007560848118147,13.475961416988866,1.0,81.83939837801154,0.45,20.312351374013815,1.0
4,4,20,30,3459,0.3,0.003007560848118147,17.604952544992557,1.0,76.63820226298412,0.45,26.124043643998448,1.0
0,4,20,30,4327,0.25,0.030720996964786838,28.955292322003515,1.0,127.74262845999328,0.55,58.89692820500932,0.95
1,4,20,30,4327,0.25,0.030720996964786838,32.7816988590057,1.0,119.61768027799553,0.55,43.09053144601057,1.0
2,4,20,30,4327,0.25,0.030720996964786838,33.10155838899664,1.0,119.8801268490206,0.6,72.1809596529929,0.95
3,4,20,30,4327,0.25,0.030720996964786838,35.43917220798903,1.0,115.37212158399052,0.6,89.23977385100443,0.9
4,4,20,30,4327,0.25,0.030720996964786838,35.58193739401759,1.0,119.12174044700805,0.6,67.07138741199742,0.95
0,4,20,30,5334,0.2,0.06463950151760658,88.69780565801193,1.0,230.12546288600424,0.85,211.65124362902134,0.9
1,4,20,30,5334,0.2,0.06463950151760658,92.31524000997888,1.0,223.22638253500918,0.8,104.00876861799043,1.0
2,4,20,30,5334,0.2,0.06463950151760658,90.7591712709982,1.0,154.57678735099034,0.85,87.79500575200655,1.0
3,4,20,30,5334,0.2,0.06463950151760658,72.9961002219934,1.0,174.7031660580251,0.85,87.22012779599754,1.0
4,4,20,30,5334,0.2,0.06463950151760658,71.37647104100324,1.0,196.52560904901475,0.8,88.01012617399101,1.0
0,4,20,30,6563,0.15,0.10836805933051157,193.5430600119871,1.0,213.3573692359787,1.0,210.64343898999505,1.0
1,4,20,30,6563,0.15,0.10836805933051157,197.65418315900024,1.0,213.5604781919974,1.0,249.68751722600427,0.9
2,4,20,30,6563,0.15,0.10836805933051157,162.7768969189783,1.0,180.85583340300946,1.0,204.13516077998793,0.95
3,4,20,30,6563,0.15,0.10836805933051157,165.51082244399004,1.0,153.47240765800234,1.0,235.08171127800597,0.95
4,4,20,30,6563,0.15,0.10836805933051157,144.89487285798532,1.0,158.07149926500279,1.0,161.06497378298081,1.0
0,4,20,30,8196,0.1,0.17,494.8923980239779,1.0,483.8622354120016,1.0,384.4766828819993,0.95
1,4,20,30,8196,0.1,0.17,325.33923647299525,1.0,377.73317622899776,1.0,315.8499831169902,1.0
2,4,20,30,8196,0.1,0.17,294.4996086579922,1.0,293.62179170100717,1.0,232.5857257989992,1.0
3,4,20,30,8196,0.1,0.17,200.52113080699928,1.0,246.83174734699423,1.0,305.2189920320234,0.9
4,4,20,30,8196,0.1,0.17,201.349258458009,1.0,251.67657862399938,1.0,235.49788442801218,0.95
0,4,30,45,19549,0.3,0.003007560848118147,726.7883015960106,1.0,,,,
1,4,30,45,19549,0.3,0.003007560848118147,1197.1681186709902,1.0,,,,
2,4,30,45,19549,0.3,0.003007560848118147,622.4184409749869,1.0,,,,
3,4,30,45,19549,0.3,0.003007560848118147,,,,,,
4,4,30,45,19549,0.3,0.003007560848118147,753.8181765039917,1.0,,,,
0,4,30,45,29783,0.2,0.06463950151760658,,,,,,
1,4,30,45,29783,0.2,0.06463950151760658,,,,,,
2,4,30,45,29783,0.2,0.06463950151760658,,,,,,
3,4,30,45,29783,0.2,0.06463950151760658,,,,,,
4,4,30,45,29783,0.2,0.06463950151760658,,,,,,
0,4,30,45,45335,0.1,0.17,,,,,,
1,4,30,45,45335,0.1,0.17,,,,,,
2,4,30,45,45335,0.1,0.17,,,,,,
3,4,30,45,45335,0.1,0.17,,,,,,
4,4,30,45,45335,0.1,0.17,,,,,,
0,4,30,45,36471,0.15,0.10836805933051157,,,,,,
1,4,30,45,36471,0.15,0.10836805933051157,,,,,,
2,4,30,45,36471,0.15,0.10836805933051157,,,,,,
3,4,30,45,36471,0.15,0.10836805933051157,,,,,,
4,4,30,45,36471,0.15,0.10836805933051157,,,,,,
0,4,30,45,24289,0.25,0.030720996964786838,,,,,,
1,4,30,45,24289,0.25,0.030720996964786838,,,,,,
2,4,30,45,24289,0.25,0.030720996964786838,,,,,,
3,4,30,45,24289,0.25,0.030720996964786838,,,,,,
4,4,30,45,24289,0.25,0.030720996964786838,,,,,,
