,rank,clique,order,size,missing,added,find2_time,find2_jaccard,findq_time,findq_jaccard,findqg_time,findqg_jaccard
0,3,10,15,84,0.3,0.0,0.5,0.5,0.08476570248603821,0.9,0.12320920452475548,0.9
1,3,10,15,84,0.3,0.0,0.5,0.5,0.09202159754931927,0.8,0.14935458078980446,0.9
2,3,10,15,84,0.3,0.0,0.5,0.5,0.08146421425044537,0.7,0.13584813475608826,0.9
3,3,10,15,84,0.3,0.0,0.5,0.5,0.08953555673360825,0.8,0.10456513240933418,1.0
4,3,10,15,84,0.3,0.0,0.5,0.5,0.08881647512316704,0.7,0.1213824599981308,1.0
5,3,10,15,84,0.3,0.0,0.5,0.5,0.08493662625551224,0.8,0.2723169047385454,0.8
6,3,10,15,84,0.3,0.0,0.5,0.5,0.08756746165454388,0.9,0.09463797323405743,1.0
7,3,10,15,84,0.3,0.0,0.5,0.5,0.08256029523909092,0.8,0.09717796929180622,1.0
8,3,10,15,84,0.3,0.0,0.5,0.5,0.08470604382455349,0.9,0.12377079576253891,0.9
9,3,10,15,84,0.3,0.0,0.6,0.6,0.09477772377431393,0.8,0.21224705502390862,0.8
10,3,10,15,84,0.3,0.0,0.5,0.5,0.07606959901750088,0.8,0.09089163690805435,1.0
11,3,10,15,84,0.3,0.0,0.5,0.5,0.07861612550914288,0.7,0.10646978951990604,1.0
12,3,10,15,84,0.3,0.0,0.5,0.5,0.08287789486348629,0.7,0.10976012237370014,1.0
13,3,10,15,84,0.3,0.0,0.5,0.5,0.08199703693389893,0.8,0.09690263122320175,1.0
14,3,10,15,84,0.3,0.0,0.5,0.5,0.07492813467979431,0.8,0.17604470439255238,0.9
0,3,10,15,90,0.25,0.0,0.5,0.5,0.09761358797550201,0.8,0.11515530198812485,1.0
1,3,10,15,90,0.25,0.0,0.5,0.5,0.0947231873869896,0.9,0.1333492137491703,1.0
2,3,10,15,90,0.25,0.0,0.5,0.5,0.09974745474755764,0.8,0.11388889886438847,1.0
3,3,10,15,90,0.25,0.0,0.6,0.6,0.09468416310846806,0.9,0.15381882339715958,0.9
4,3,10,15,90,0.25,0.0,0.6,0.6,0.10588309541344643,0.8,0.1202404573559761,1.0
5,3,10,15,90,0.25,0.0,0.5,0.5,0.09079288132488728,0.9,0.09721256978809834,1.0
6,3,10,15,90,0.25,0.0,0.5,0.5,0.08804873563349247,0.9,0.09493956156075001,1.0
7,3,10,15,90,0.25,0.0,0.5,0.5,0.09446372836828232,0.8,0.10486435890197754,1.0
8,3,10,15,90,0.25,0.0,0.5,0.5,0.09477922692894936,0.8,0.10528511926531792,1.0
9,3,10,15,90,0.25,0.0,0.5,0.5,0.0933182816952467,0.9,0.16472729854285717,0.9
10,3,10,15,90,0.25,0.0,0.5,0.5,0.09217703901231289,1.0,0.09548096731305122,1.0
11,3,10,15,90,0.25,0.0,0.5,0.5,0.09226848557591438,0.9,0.09934750571846962,1.0
12,3,10,15,90,0.25,0.0,0.5,0.5,0.09267027676105499,0.8,0.10831232741475105,1.0
13,3,10,15,90,0.25,0.0,0.5,0.5,0.09723731689155102,0.9,0.3532424867153168,0.9
14,3,10,15,90,0.25,0.0,0.5,0.5,0.08934157527983189,0.8,0.09956532344222069,1.0
0,3,10,15,96,0.2,0.0,0.5,0.5,0.09699798934161663,0.9,0.10636912100017071,1.0
1,3,10,15,96,0.2,0.0,0.6,0.6,0.10725133679807186,0.9,0.13725151307880878,1.0
2,3,10,15,96,0.2,0.0,0.5,0.5,0.10195880755782127,0.8,0.1163451075553894,1.0
3,3,10,15,96,0.2,0.0,0.6,0.6,0.1138368621468544,0.8,0.37567464634776115,0.9
4,3,10,15,96,0.2,0.0,0.6,0.6,0.10036223568022251,1.0,0.10340055637061596,1.0
5,3,10,15,96,0.2,0.0,0.6,0.6,0.10361676849424839,1.0,0.10655842907726765,1.0
6,3,10,15,96,0.2,0.0,0.6,0.6,0.10581737756729126,0.9,0.1122126616537571,1.0
7,3,10,15,96,0.2,0.0,0.6,0.6,0.09793405793607235,0.9,0.1575699858367443,0.9
8,3,10,15,96,0.2,0.0,0.6,0.6,0.10408768989145756,0.9,0.11062389239668846,1.0
9,3,10,15,96,0.2,0.0,0.5,0.5,0.10081355087459087,0.9,0.1072670966386795,1.0
10,3,10,15,96,0.2,0.0,0.6,0.6,0.10877151601016521,0.8,0.12302030250430107,1.0
11,3,10,15,96,0.2,0.0,0.6,0.6,0.10457494109869003,0.9,0.18299494870007038,0.9
12,3,10,15,96,0.2,0.0,0.6,0.6,0.11125614307820797,0.9,0.11775930784642696,1.0
13,3,10,15,96,0.2,0.0,0.6,0.6,0.10933366604149342,0.9,0.15045623295009136,0.9
14,3,10,15,96,0.2,0.0,0.6,0.6,0.10042029246687889,0.9,0.10628455318510532,1.0
0,3,10,15,242,0.1,0.4,0.6,0.6,0.29324215836822987,1.0,0.7448528222739697,1.0
1,3,10,15,242,0.1,0.4,0.7,0.7,0.3208523951470852,1.0,0.6954486072063446,1.0
2,3,10,15,242,0.1,0.4,0.7,0.7,0.34299647621810436,0.9,0.8036276511847973,0.9
3,3,10,15,242,0.1,0.4,0.6,0.6,0.29077453538775444,1.0,0.6368495970964432,1.0
4,3,10,15,242,0.1,0.4,0.7,0.7,0.3390573523938656,1.0,0.7140960227698088,1.0
5,3,10,15,242,0.1,0.4,0.6,0.6,0.28823452442884445,1.0,0.7413123715668917,1.0
6,3,10,15,242,0.1,0.4,0.7,0.7,0.30569437332451344,1.0,0.6818509455770254,1.0
