,rank,clique,order,size,missing,added,find2_time,find2_jaccard,findq_time,findq_jaccard,findqg_time,findqg_jaccard
0,4,30,45,21924,0.2,0.0,,,360.8047427032143,0.7666666666666667,,
1,4,30,45,21924,0.2,0.0,,,333.1698904093355,0.7666666666666667,,
2,4,30,45,21924,0.2,0.0,,,385.3275082819164,0.7666666666666667,,
3,4,30,45,21924,0.2,0.0,,,343.6358681637794,0.8,362.82815308123827,1.0
4,4,30,45,21924,0.2,0.0,,,352.0214299932122,0.7666666666666667,362.7982794512063,1.0
5,4,30,45,21924,0.2,0.0,,,352.728613184765,0.7666666666666667,,
6,4,30,45,21924,0.2,0.0,,,331.0809387881309,0.8333333333333334,339.55966899357736,1.0
7,4,30,45,21924,0.2,0.0,,,339.85059831291437,0.8,,
8,4,30,45,21924,0.2,0.0,,,337.79795641824603,0.7333333333333333,,
9,4,30,45,21924,0.2,0.0,,,325.1288013160229,0.8,341.5047778300941,1.0
10,4,30,45,21924,0.2,0.0,,,315.90946163237095,0.7666666666666667,,
11,4,30,45,21924,0.2,0.0,,,346.16214982047677,0.7666666666666667,,
12,4,30,45,21924,0.2,0.0,,,339.57395494543016,0.7666666666666667,,
13,4,30,45,21924,0.2,0.0,,,351.83067104034126,0.7666666666666667,,
14,4,30,45,21924,0.2,0.0,,,340.65055263228714,0.8,,
0,4,10,15,1113,0.1,0.8,0.7,0.7,3.4314592499285936,1.0,5.06651802547276,1.0
1,4,10,15,1113,0.1,0.8,0.6,0.6,3.53918619453907,1.0,5.223455898463726,1.0
2,4,10,15,1113,0.1,0.8,0.6,0.6,3.4700154084712267,0.9,5.04650367423892,1.0
3,4,10,15,1113,0.1,0.8,0.7,0.7,3.355572694912553,0.9,5.132428685203195,0.9
4,4,10,15,1113,0.1,0.8,0.6,0.6,3.390839608386159,0.9,4.927043659612536,1.0
5,4,10,15,1113,0.1,0.8,0.7,0.7,3.556399939581752,1.0,5.253649298101664,1.0
6,4,10,15,1113,0.1,0.8,0.7,0.7,3.6344977244734764,1.0,5.433192228898406,1.0
7,4,10,15,1113,0.1,0.8,0.7,0.7,3.47141195461154,0.9,4.970276940613985,1.0
8,4,10,15,1113,0.1,0.8,0.6,0.6,3.4673176053911448,1.0,5.473404282703996,1.0
9,4,10,15,1113,0.1,0.8,0.6,0.6,3.686684051528573,0.9,5.342104189097881,1.0
10,4,10,15,1113,0.1,0.8,0.7,0.7,3.6064139418303967,0.9,5.765268873423338,0.9
11,4,10,15,1113,0.1,0.8,0.7,0.7,3.522159229964018,0.8,5.27134246006608,1.0
12,4,10,15,1113,0.1,0.8,0.7,0.7,3.7406881283968687,0.9,5.715430703014135,0.9
13,4,10,15,1113,0.1,0.8,0.6,0.6,3.5189907886087894,0.9,4.98512570746243,1.0
14,4,10,15,1113,0.1,0.8,0.7,0.7,3.2499574329704046,0.8181818181818182,4.7272149957716465,0.8181818181818182
0,4,30,45,23295,0.15,0.0,,,783.464622495696,0.8333333333333334,,
1,4,30,45,23295,0.15,0.0,,,794.8518928792328,0.8666666666666667,,
2,4,30,45,23295,0.15,0.0,,,600.7140256948769,0.8666666666666667,,
3,4,30,45,23295,0.15,0.0,,,763.7156318947673,0.8666666666666667,,
4,4,30,45,23295,0.15,0.0,,,618.9055076632649,0.8333333333333334,,
5,4,30,45,23295,0.15,0.0,,,567.3539203424007,0.8333333333333334,571.5648220852017,1.0
6,4,30,45,23295,0.15,0.0,,,573.4893555734307,0.8666666666666667,,
7,4,30,45,23295,0.15,0.0,,,740.3869394604117,0.8333333333333334,,
8,4,30,45,23295,0.15,0.0,,,620.3813970033079,0.8666666666666667,,
9,4,30,45,23295,0.15,0.0,,,526.5403297748417,0.8666666666666667,884.6501557603478,0.9666666666666667
10,4,30,45,23295,0.15,0.0,,,750.788944831118,0.9,,
11,4,30,45,23295,0.15,0.0,,,531.6858894880861,0.8666666666666667,545.5619751084596,1.0
12,4,30,45,23295,0.15,0.0,,,579.0842664148659,0.9,617.880270652473,0.9666666666666667
13,4,30,45,23295,0.15,0.0,,,623.8416902720928,0.8666666666666667,,
14,4,30,45,23295,0.15,0.0,,,752.3212389331311,0.8666666666666667,,
0,4,10,15,420,0.1,0.2,0.6,0.6,0.4998168982565403,1.0,1.1635911632329226,1.0
1,4,10,15,420,0.1,0.2,0.7,0.7,0.4708619974553585,1.0,1.1590904649347067,1.0
2,4,10,15,420,0.1,0.2,0.7,0.7,0.46283617056906223,1.0,1.1302876193076372,1.0
3,4,10,15,420,0.1,0.2,0.7,0.7,0.4795471541583538,1.0,1.1907706800848246,1.0
4,4,10,15,420,0.1,0.2,0.7,0.7,0.4820480402559042,1.0,1.1596429198980331,1.0
5,4,10,15,420,0.1,0.2,0.7,0.7,0.4867447093129158,0.9,1.2105744685977697,0.9
6,4,10,15,420,0.1,0.2,0.7,0.7,0.5105004012584686,1.0,1.202876666560769,1.0
7,4,10,15,420,0.1,0.2,0.7,0.7,0.48307629115879536,1.0,1.159704852849245,1.0
8,4,10,15,420,0.1,0.2,0.7,0.7,0.4999103918671608,1.0,1.2029810547828674,1.0
9,4,10,15,420,0.1,0.2,0.7,0.7,0.4825321715325117,1.0,1.1599628441035748,1.0
10,4,10,15,420,0.1,0.2,0.6,0.6,0.46944456547498703,1.0,1.13841612637043,1.0
11,4,10,15,420,0.1,0.2,0.7,0.7,0.4670483414083719,1.0,1.1747404113411903,1.0
12,4,10,15,420,0.1,0.2,0.7,0.7,0.4823730159550905,1.0,1.1811125725507736,1.0
13,4,10,15,420,0.1,0.2,0.7,0.7,0.4943528324365616,1.0,1.2089483551681042,1.0
14,4,10,15,420,0.1,0.2,0.7,0.7,0.500073155388236,0.9,1.249973939731717,0.9
0,4,30,45,24665,0.1,0.0,,,1155.2700790408999,0.9666666666666667,,
1,4,30,45,24665,0.1,0.0,,,,,,
2,4,30,45,24665,0.1,0.0,,,826.1351922005415,1.0,826.6689466554672,1.0
3,4,30,45,24665,0.1,0.0,,,,,,
4,4,30,45,24665,0.1,0.0,,,,,,
5,4,30,45,24665,0.1,0.0,,,,,,
6,4,30,45,24665,0.1,0.0,,,890.5750089567155,1.0,892.2962425705045,1.0
7,4,30,45,24665,0.1,0.0,,,,,,
8,4,30,45,24665,0.1,0.0,,,,,,
9,4,30,45,24665,0.1,0.0,,,,,,
10,4,30,45,24665,0.1,0.0,,,,,,
11,4,30,45,24665,0.1,0.0,,,,,,
12,4,30,45,24665,0.1,0.0,,,,,,
13,4,30,45,24665,0.1,0.0,,,,,,
14,4,30,45,24665,0.1,0.0,,,,,,
0,4,10,15,882,0.1,0.6,0.7,0.7,1.4317341428250074,1.0,3.1146566588431597,1.0
1,4,10,15,882,0.1,0.6,0.7,0.7,1.3847114332020283,1.0,3.200871806591749,1.0
2,4,10,15,882,0.1,0.6,0.6,0.6,1.3751958440989256,1.0,2.979017471894622,1.0
3,4,10,15,882,0.1,0.6,0.6,0.6,1.36803637444973,1.0,3.2295386604964733,1.0
4,4,10,15,882,0.1,0.6,0.7,0.7,1.4976123236119747,1.0,3.1664380952715874,1.0
5,4,10,15,882,0.1,0.6,0.7,0.7,1.389730667695403,1.0,3.1217536479234695,1.0
6,4,10,15,882,0.1,0.6,0.7,0.7,1.4379973839968443,1.0,3.18673094548285,1.0
7,4,10,15,882,0.1,0.6,0.7,0.7,1.4011778756976128,1.0,3.13759758323431,1.0
8,4,10,15,882,0.1,0.6,0.7,0.7,1.3980099093168974,1.0,3.137053867802024,1.0
9,4,10,15,882,0.1,0.6,0.7,0.7,1.393107546493411,1.0,3.1773483213037252,1.0
10,4,10,15,882,0.1,0.6,0.7,0.7,1.419949296861887,1.0,3.1628956086933613,1.0
11,4,10,15,882,0.1,0.6,0.7,0.7,1.4235037174075842,1.0,3.1970995534211397,1.0
12,4,10,15,882,0.1,0.6,0.7,0.7,1.3583807088434696,1.0,3.2930024415254593,1.0
13,4,10,15,882,0.1,0.6,0.7,0.7,1.3796343486756086,1.0,3.128878880292177,1.0
