,rank,clique,order,size,missing,added,find2_time,find2_jaccard,findq_time,findq_jaccard,findqg_time,findqg_jaccard
0,2,10,15,43,0.05,0.0,0.8,0.8,0.040437497198581696,1.0,0.0421854704618454,1.0
1,2,10,15,43,0.05,0.0,0.9,0.9,0.05726321041584015,0.9,0.07355978153645992,0.9
2,2,10,15,43,0.05,0.0,0.9,0.9,0.05783556401729584,0.9,0.07334725186228752,0.9
3,2,10,15,43,0.05,0.0,0.8,0.8,0.06978529319167137,1.0,0.04108250141143799,1.0
4,2,10,15,43,0.05,0.0,0.9,0.9,0.05725475400686264,0.9,0.07151807099580765,0.9
5,2,10,15,43,0.05,0.0,0.8,0.8,0.03884662687778473,1.0,0.041934844106435776,1.0
6,2,10,15,43,0.05,0.0,0.8,0.8,0.03927318938076496,1.0,0.04084172286093235,1.0
7,2,10,15,43,0.05,0.0,0.8,0.8,0.038611553609371185,1.0,0.04157086834311485,1.0
8,2,10,15,43,0.05,0.0,0.8,0.8,0.04076478071510792,1.0,0.04340367205440998,1.0
9,2,10,15,43,0.05,0.0,0.9,0.9,0.056751735508441925,0.9,0.07042673788964748,0.9
10,2,10,15,43,0.05,0.0,0.8,0.8,0.03843822330236435,1.0,0.04075980186462402,1.0
11,2,10,15,43,0.05,0.0,0.9,0.9,0.056278472766280174,0.9,0.07044207863509655,0.9
12,2,10,15,43,0.05,0.0,0.8,0.8,0.03826226480305195,1.0,0.04059844836592674,1.0
13,2,10,15,43,0.05,0.0,0.8,0.8,0.038242362439632416,1.0,0.04071790538728237,1.0
14,2,10,15,43,0.05,0.0,0.8,0.8,0.03834986872971058,1.0,0.04058658704161644,1.0
0,2,20,30,181,0.05,0.0,0.75,0.75,0.3492463789880276,0.9,0.3904670625925064,0.95
1,2,20,30,181,0.05,0.0,0.75,0.75,0.3954946082085371,0.95,26.39635818079114,0.95
2,2,20,30,181,0.05,0.0,,,0.31798128597438335,0.95,0.34718867391347885,0.95
3,2,20,30,181,0.05,0.0,,,0.3056113850325346,0.95,0.3348085768520832,0.95
4,2,20,30,181,0.05,0.0,0.8,0.8,1.227351875975728,0.95,1.8804397881031036,0.95
5,2,20,30,181,0.05,0.0,0.75,0.75,0.31810686737298965,0.95,0.35235307924449444,0.95
6,2,20,30,181,0.05,0.0,0.8,0.8,0.4697823468595743,0.9,0.6726605594158173,0.9
7,2,20,30,181,0.05,0.0,,,0.31411323696374893,0.95,0.39906375110149384,0.95
8,2,20,30,181,0.05,0.0,0.7,0.7,0.21015437506139278,1.0,0.2345901783555746,1.0
9,2,20,30,181,0.05,0.0,,,0.4790075570344925,0.95,0.5570704247802496,0.95
